Facility Name,Opening Days and Hours,Phone,Latitude,Longitude,Formatted Address,Primary Type,Accessibility Options,Maps URI,Website URI
LUMED d.o.o.,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 3:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 1 519 87 93,46.0720867,14.4726532,"Ulica bratov Učakar 64, 1000 Ljubljana, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=3498740240912107858,https://lumed.si/
Lampros Skamagkoulis - zobozdravstvena dejavnost - oralna kirurgija v zobozdravstveni dejavnosti,,+386 30 341 123,46.2479131,15.265771299999999,"Strma pot 4, 3000 Celje, Slovenia",point_of_interest,wheelchairAccessibleParking,https://maps.google.com/?cid=12622473382516870521,
Lep nasmeh d.o.o.,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 8:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 590 60000,46.0730607,14.468154,"Kogovškova ulica, 1000 Ljubljana, Slovenia",dental_clinic,,https://maps.google.com/?cid=13444931189046682879,http://www.lepnasmeh.si/contact-us/
Lovšin Urška - Zobozdravstvena ordinacija,Monday: 1:00 – 7:00 PM; Tuesday: 1:00 – 7:00 PM; Wednesday: 7:30 AM – 1:30 PM; Thursday: 7:30 AM – 1:30 PM; Friday: 7:30 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 1 899 55 70,46.0539444,14.837004699999998,"Partizanska pot 8a, 1270 Litija, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=1730046701611755209,https://www.urskalovsin.com/
Lukana d.o.o.,,+386 3 290 90 05,46.050615699999994,14.4971443,"Veselova ulica 13, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=13867812209583086485,http://www.lukana.si/
M&R Milena Mikulin,"Monday: 7:30 AM – 12:00 PM, 4:00 – 7:30 PM; Tuesday: 7:30 AM – 12:00 PM, 4:00 – 7:30 PM; Wednesday: 7:30 AM – 12:00 PM, 4:00 – 7:30 PM; Thursday: 7:30 AM – 12:00 PM, 4:00 – 7:30 PM; Friday: 6:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed",+386 5 710 12 55 ext. 041487039,45.563019,14.2463115,"Rozmanova ulica 1, 6250 Ilirska Bistrica, Slovenia",physiotherapist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=1247458924374347684,http://www.fizioterapija-mikulin.si/
M-DENS zobozdravstvena ordinacija in laboratorij za zobno protetiko d.o.o.,"Monday: 12:45 – 7:00 PM; Tuesday: 12:00 – 7:00 PM; Wednesday: 7:00 AM – 12:00 PM, 4:00 – 5:45 PM; Thursday: 7:00 AM – 1:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed",+386 31 017 527,46.0565147,14.555386599999997,"Zaloška cesta 147, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=2504836691955106750,http://www.mdens.si/
M-MEDIKO D.O.O.,,+386 3 562 41 22,46.1344243,14.995864,"Cesta 9. avgusta 8b, 1410 Zagorje ob Savi, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=12650064143657595287,http://www.m-mediko.si/
MADENS d.o.o.,Monday: 12:30 – 7:00 PM; Tuesday: 12:30 – 7:00 PM; Wednesday: 7:00 AM – 1:30 PM; Thursday: 7:00 AM – 1:30 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 2 601 71 00,46.456382999999995,15.62698,"Cafova ulica 1, 2313 Fram, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=17265325051708718856,http://www.madens.eu/
MAEDENTIS NEVENA JOSIPOVIĆ DR.DENT.MED.,Monday: 8:30 AM – 3:00 PM; Tuesday: 12:30 – 7:00 PM; Wednesday: 12:30 – 7:00 PM; Thursday: 7:30 AM – 2:00 PM; Friday: 7:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 31 240 782,46.553622999999995,15.644231,"Dvorakova ulica 10, 2000 Maribor, Slovenia",dental_clinic,wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11674611064158953775,http://www.mae-dentis.si/
MAG. VOJIN RAŠIĆ DDM ZASEBNA ZOBNA ORDINACIJA,Monday: 8:00 AM – 2:30 PM; Tuesday: 8:00 AM – 2:30 PM; Wednesday: 1:30 – 8:00 PM; Thursday: 1:00 – 7:30 PM; Friday: 8:00 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,+386 3 565 50 41,46.1338276,14.995592799999997,"Cesta zmage 1, 1410 Zagorje ob Savi, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=3435921740609939797,
MAJA GLUVIČ - SPECIALISTIČNA ENDODONTSKA ORDINACIJA IN SPLOŠNO ZOBOZDRAVSTVO,,,46.1424473,14.5613174,"Jemčeva cesta 45, 1236 Trzin, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=13144271782804943337,
MAJOMA d.o.o.,Monday: 1:00 – 7:30 PM; Tuesday: 1:00 – 7:30 PM; Wednesday: 7:00 AM – 1:30 PM; Thursday: 7:00 AM – 1:30 PM; Friday: 7:00 AM – 1:30 PM; Saturday: Closed; Sunday: Closed,+386 2 331 11 73,46.543096299999995,15.6350246,"Cesta zmage 98, 2000 Maribor, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11391596640308732361,
MARIDENT d.o.o.,,+386 41 768 399,46.1296568,14.4139781,"Bogatajeva ulica 17, 1215 Medvode, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=10353153321618878120,http://www.marnmedica.si/
MARČUN MATEJA - ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA,,+386 4 251 14 88,46.2486264,14.418921899999999,"Pipanova cesta 43, 4208 Šenčur, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=6990187605066950323,
MC MEDICOR D.D.,,+386 5 662 55 15,46.035377499999996,14.477907100000001,"Tbilisijska ulica 81, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=3521028869321277185,
MCL PSIHIATRICNA ORDINACIJA D.O.O.,"Monday: 12:00 AM – 8:00 PM; Tuesday: 7:30 AM – 1:30 PM, 3:00 – 8:00 PM; Wednesday: 8:30 AM – 1:30 AM; Thursday: 7:30 AM – 12:30 AM; Friday: 7:30 AM – 12:30 AM; Saturday: Closed; Sunday: Closed",,46.0570874,14.515497700000001,"Metelkova ulica 15, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking,https://maps.google.com/?cid=2129150751188398138,
MD Medicina d.o.o.,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,+386 1 430 90 10,46.0554499,14.520067699999998,"Bohoričeva ulica 5, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=6571737263805599054,https://md-medicina.si/
MDENT Zobozdravstvene storitve Mihajlo Frangov S.P.,,+386 1 283 28 75,46.0361903,14.4895219,"Cesta v Mestni log 55, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2458745542598594985,http://www.dentex.si/
MDT PODJETJE ZA MEDICINSKO DIAGNOSTIKO TERAPIJO IN TEHNOLOGIJO D.O.O.,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 10:00 AM – 8:00 PM,+386 2 235 35 52,46.5581329,15.635967299999997,"Lavričeva ul. 1, 2000 Maribor, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=14445745464799338259,http://www.mdt.si/
MEDENS d.o.o.,,+386 3 839 53 40,46.338848899999995,14.959346900000002,"Savinjska cesta 6, 3330 Mozirje, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=16706800595056956352,
MEDGEN d.o.o.,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 2:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 51 429 723,46.076454999999996,14.465953799999998,"Ulica bratov Babnik 10, 1000 Ljubljana, Slovenia",point_of_interest,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=12675231684406593897,http://www.medgen.si/
MEDI CONS D.O.O.,,+386 7 332 25 50,46.3709105,14.1046178,"Pod Skalo 4, 4260 Bled, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=16902406070791141568,https://www.medicons.si/
MEDIACOM Kranj d.o.o.,"Monday: 1:00 – 8:00 PM; Tuesday: 8:00 AM – 1:00 PM, 5:00 – 7:00 PM; Wednesday: 6:30 AM – 1:30 PM; Thursday: 6:30 AM – 1:30 PM; Friday: 6:30 AM – 1:30 PM; Saturday: Closed; Sunday: Closed",+386 4 208 24 16,46.2483234,14.353334499999999,"Gosposvetska ulica 10b, 4000 Kranj, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=4936820293402113482,http://mediacomkranj.wixsite.com/mediacomkranj
MEDICAL CENTER ROGAŠKA,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 8:00 AM – 12:00 PM; Sunday: Closed,+386 3 811 70 00,46.2387629,15.6408904,"Zdraviliški trg 9-3250, 3250 Rogaška Slatina, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2590343025998393253,http://www.rogaska-medical.com/
MEDICINSKI CENTER GORJANC,,+386 2 824 06 60,46.5449018,14.914221500000002,"Trg 32, 2391 Prevalje, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=3051681255964086976,http://www.gorjanc.si/
MEDICO-DENTES d.o.o.,,+386 1 565 91 40,46.078089999999996,14.512027199999999,"Dunajska c. 129, 1000 Ljubljana, Slovenia",point_of_interest,,https://maps.google.com/?cid=4770082320283868651,http://www.rabim.info/dentis-doo-zobozdravstvo-svetovanje-trgovina-zastopstvo-100249
MEDICODENT ZOBOZDRAVSTVENE STORITVE D.O.O.,Monday: 7:00 AM – 1:30 PM; Tuesday: 7:00 AM – 1:30 PM; Wednesday: 7:00 AM – 1:30 PM; Thursday: 3:00 – 9:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 2 871 04 60,46.590226,15.028650800000001,"Mariborska Cesta 38, 2370 Dravograd, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=12447583157338038215,http://www.medicodent.si/
MEDICOR D.O.O.,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: Closed; Friday: 9:00 AM – 8:00 PM; Saturday: Closed; Sunday: Closed,+386 1 432 21 52,46.0540015,14.512483799999998,"Kotnikova ulica 5, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=684172919843647048,
MEDICUS d.o.o.-PE Barjanska,Monday: 7:00 AM – 2:00 PM; Tuesday: 1:00 – 7:00 PM; Wednesday: 7:00 AM – 2:00 PM; Thursday: 1:00 – 7:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 1 280 77 90,46.0369269,14.499316400000001,"Barjanska cesta 62d, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=16260946600611664557,http://www.medicus.si/
MEDICUS d.o.o.-PE Linhartova,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 1:30 PM; Sunday: Closed,+386 1 432 91 99,46.0647282,14.5143826,"Linhartova cesta 15, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=17004060012306656090,http://www.medicus.si/
MEDILAB D.O.O. DIAGNOSTICNI RADIOLOŠKI CENTER,Monday: 6:00 AM – 6:00 PM; Tuesday: 6:00 AM – 6:00 PM; Wednesday: 6:00 AM – 6:00 PM; Thursday: 6:00 AM – 6:00 PM; Friday: 6:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,+386 1 589 46 80,46.0780047,14.5029922,"Vodovodna cesta 100, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11809322723810267093,http://www.medilab.si/
MEDIVITA D.O.O.,Monday: 8:00 AM – 3:00 PM; Tuesday: 8:00 AM – 3:00 PM; Wednesday: 1:00 – 8:00 PM; Thursday: 1:00 – 8:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 41 767 890,46.661000099999995,16.1687653,"Gregorčičeva ulica 27a, 9000 Murska Sobota, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=16403676445942125284,
MEDIZOB d.o.o.,Monday: 7:30 AM – 1:30 PM; Tuesday: 7:30 AM – 1:30 PM; Wednesday: 7:30 AM – 1:30 PM; Thursday: 12:30 – 7:30 PM; Friday: 7:30 AM – 1:30 PM; Saturday: Closed; Sunday: Closed,+386 599 53949,46.5426309,15.506563799999999,"Stadionska ulica 4, 2342 Ruše, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11287609112734145685,https://www.medizob.si/
MEL DENT d.o.o.,Monday: 1:00 – 6:00 PM; Tuesday: 10:00 AM – 8:00 PM; Wednesday: 1:00 – 6:00 PM; Thursday: 10:00 AM – 2:00 PM; Friday: 10:00 AM – 2:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed,+386 30 336 388,46.0395131,14.5075255,"Opekarska cesta 11, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking,https://maps.google.com/?cid=12178933636984819840,http://www.meldent.si/
MELADENS d.o.o.,Monday: 12:00 – 7:30 PM; Tuesday: 7:15 AM – 2:15 PM; Wednesday: 7:15 AM – 2:15 PM; Thursday: 12:00 – 7:30 PM; Friday: 7:30 AM – 1:30 PM; Saturday: Closed; Sunday: Closed,+386 3 705 50 00,46.2459171,14.9510713,"Vransko 130d, 3305 Vransko, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=14152060074282172163,https://pirs.si/#/details;uuid=2c822a75-a96f-4ce9-bfad-30af8ec2e6f9
MENTAL svetovanje d.o.o.,,,45.9084114,15.0067737,"Goliev trg 3, 8210 Trebnje, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11547924014053333260,https://zdravniki-zobozdravniki.net/Clan/Iztok-LESER-1012
MERIDIUS TOP d.o.o.,Monday: 6:00 AM – 2:30 PM; Tuesday: 6:00 AM – 2:30 PM; Wednesday: 6:00 AM – 2:30 PM; Thursday: 6:00 AM – 2:30 PM; Friday: 6:00 AM – 12:00 PM; Saturday: Closed; Sunday: Closed,+386 68 176 515,46.4355812,14.0511808,"Cesta Franceta Prešerna 15, 4270 Jesenice, Slovenia",furniture_store,wheelchairAccessibleParking; wheelchairAccessibleEntrance,https://maps.google.com/?cid=7580056592083938063,http://tapetnistvo-top.com/
MG ORTODONT d.o.o.,Monday: 1:00 – 8:00 PM; Tuesday: 7:30 AM – 2:30 PM; Wednesday: 7:30 AM – 2:30 PM; Thursday: 12:50 – 6:20 PM; Friday: 7:30 AM – 12:45 PM; Saturday: Closed; Sunday: Closed,+386 7 332 11 41,45.801527,15.162894399999999,"Kandijska c. 4, 8000 Novo mesto, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=7323168376099768507,http://ortodont.net/
MIJATOVIČ JOVAN - ZOBNA AMBULANTA,Monday: 1:30 – 8:00 PM; Tuesday: 7:00 AM – 1:30 PM; Wednesday: 7:00 AM – 1:30 PM; Thursday: 1:00 – 8:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,+386 1 834 70 80,46.2194457,14.7565814,"Laze v Tuhinju 29, 1219 Laze v Tuhinju, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=10417149753589215857,
MIKMAR d.o.o.,Monday: 12:00 – 7:30 PM; Tuesday: 7:30 AM – 3:00 PM; Wednesday: 12:00 – 7:30 PM; Thursday: 7:30 AM – 3:00 PM; Friday: 7:30 AM – 12:30 PM; Saturday: Closed; Sunday: Closed,+386 2 320 24 93,46.548004899999995,15.638584700000001,"Kettejeva ulica 14, 2000 Maribor, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=8825450113093649385,
MILUJA zobozdravstvo d.o.o. - Luka Gomezelj dr.dent.med.,Monday: 8:30 AM – 3:00 PM; Tuesday: 8:30 AM – 3:00 PM; Wednesday: 8:30 AM – 3:00 PM; Thursday: 8:30 AM – 3:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 40 168 869,46.061107899999996,14.4979897,"Malgajeva ulica 7, 1000 Ljubljana, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=9724658630990771354,
MK DENTAL D.O.O. ZOBOZDRAVSTVO IN DRUGE DEJAVNOSTI,,+386 51 611 613,46.0683005,14.503146599999997,"Podmilščakova ulica 19, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=15782163568842462380,https://www.ezobozdravnik.si/seznam-zobozdravnikov/mi-zobozdravstvo/
MLADINSKO KLIMATSKO ZDRAVILIŠČE RAKITNA,Monday: 7:00 AM – 3:00 PM; Tuesday: 7:00 AM – 3:00 PM; Wednesday: 7:00 AM – 3:00 PM; Thursday: 7:00 AM – 3:00 PM; Friday: 7:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 1 365 98 00,45.8903502,14.4459576,"Rakitna 96, 1352 Preserje, Slovenia",spa,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleSeating,https://maps.google.com/?cid=4635609865395825734,https://www.mkz-rakitna.si/
MLINAR VISUS D.O.O.,Monday: 11:00 AM – 5:00 PM; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 1:00 – 8:00 PM; Friday: 11:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,+386 2 870 53 05,46.5431684,14.9673279,"Ob Suhi 5b, 2390 Ravne na Koroškem, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=4241835049220111445,
MORELA OKULISTI D.O.O.,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,+386 1 510 23 40,46.0490864,14.460236499999997,"Tehnološki park 21, 1000 Ljubljana, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2955682856865867756,http://www.morela.si/
MTC Fontana d.o.o.,Monday: 7:00 AM – 9:00 PM; Tuesday: 7:00 AM – 9:00 PM; Wednesday: 7:00 AM – 9:00 PM; Thursday: 7:00 AM – 9:00 PM; Friday: 7:00 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,+386 2 234 41 00,46.5660029,15.623182300000002,"Koroška cesta 172, 2000 Maribor, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=582823427007956012,https://www.fontana.si/
Mamelon d.o.o.,Monday: 12:30 – 8:00 PM; Tuesday: 12:30 – 8:00 PM; Wednesday: 7:30 AM – 3:00 PM; Thursday: 7:30 AM – 3:00 PM; Friday: 7:30 AM – 12:30 PM; Saturday: Closed; Sunday: Closed,+386 2 513 27 82,46.6583025,16.176508,"Plese 2, 9000 Murska Sobota, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleSeating,https://maps.google.com/?cid=8618376546518632678,
Margita Zupanc Porenta dr. dent. med. ZASEBNA ZOBNA ORDINACIJA,Monday: 1:00 – 7:30 PM; Tuesday: 7:00 AM – 2:00 PM; Wednesday: 1:00 – 7:00 PM; Thursday: 7:00 AM – 2:30 PM; Friday: 7:00 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,+386 4 580 91 85,46.4003556,14.1416103,"Selo pri Žirovnici 8a, 4274 Žirovnica, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=1196978924482115278,https://zdravniki-zobozdravniki.net/Clan/Margita-ZUPANC-PORENTA-969
Markelj d.o.o.,,+386 1 515 82 75,46.0993792,14.541369399999999,"Brnčičeva ul. 13, 1231 Ljubljana - Črnuče, Slovenia",accounting,wheelchairAccessibleParking,https://maps.google.com/?cid=7364421117730167740,http://markelj-co.si/kontakt/
Matanič Jasenka - Zobozdravnik,Monday: 12:30 – 7:00 PM; Tuesday: 2:00 – 7:00 PM; Wednesday: 7:30 AM – 1:30 PM; Thursday: 7:30 AM – 1:30 PM; Friday: 7:30 AM – 1:30 PM; Saturday: Closed; Sunday: Closed,+386 41 316 462,46.050444399999996,14.460297899999999,"Tehnološki park 20, 1000 Ljubljana, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=17631812778659947825,http://stu-dent.si/
MedDen S d.o.o.,Monday: 11:30 AM – 7:30 PM; Tuesday: 12:00 – 7:30 PM; Wednesday: 7:30 AM – 2:30 PM; Thursday: 7:30 AM – 2:30 PM; Friday: 7:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 820 50777,46.6940187,16.1739897,"Puconci 251, 9201 Puconci, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=1649180720930060465,http://meddens.si/
Medicinski center Heliks d.o.o.,Monday: 7:00 AM – 3:00 PM; Tuesday: 7:00 AM – 3:00 PM; Wednesday: 7:00 AM – 5:15 PM; Thursday: 2:00 – 8:30 PM; Friday: 7:00 – 11:30 AM; Saturday: 8:00 AM – 3:00 PM; Sunday: Closed,+386 3 561 47 70,46.1471893,15.0433693,"Opekarna 1, 1420 Trbovlje, Slovenia",hospital,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=11212811199294899103,http://www.heliks.si/
Medicointerna d.o.o.,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 10:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,+386 1 200 96 20,45.6393474,14.8639805,"Roška cesta 17, 1330 Kočevje, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=18216084800636657361,http://www.medicointerna.com/
Medik ultrazvočna dignostika - Igor Kočevar,"Monday: 7:00 – 11:00 AM, 4:00 – 7:15 PM; Tuesday: 7:00 – 11:00 AM, 4:00 – 7:15 PM; Wednesday: 7:00 AM – 1:00 PM; Thursday: 7:00 AM – 1:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed",+386 591 66666,46.3608222,15.120524500000002,"Kardeljev trg 3, 3320 Velenje, Slovenia",doctor,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=1512440586353116959,http://www.medik.si/
Medur d.o.o.,Monday: 7:30 AM – 6:00 PM; Tuesday: 7:30 AM – 6:30 PM; Wednesday: 7:30 AM – 6:00 PM; Thursday: 7:30 AM – 3:00 PM; Friday: 7:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,+386 590 19067,46.0601694,14.5155552,"Vilharjev podhod 1, 1000 Ljubljana, Slovenia",,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=15365922067868536066,https://medur.si/
Metličar Anton - DOKTOR STOMATOLOGIJE,,+386 5 333 29 90,45.955945199999995,13.6490434,"Ulica tolminskih puntarjev 4, 5000 Nova Gorica, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=6166520087104366663,
Miha Markelj dr.dent.med. - Zobna ordinacija Videm,,+386 31 478 290,45.8481477,14.6957089,"Videm 37a, 1312 Videm, Slovenia",dentist,wheelchairAccessibleParking; wheelchairAccessibleEntrance; wheelchairAccessibleRestroom,https://maps.google.com/?cid=2642398192778924760,
Mikuž d.o.o.,,+386 40 562 653,46.051646999999996,14.5019428,"Beethovnova ulica 6, 1000 Ljubljana, Slovenia",dental_clinic,wheelchairAccessibleParking,https://maps.google.com/?cid=1758699452447102040,http://www.parodontologija.si/
Mladinsko zobozdravstvo MOIDENT,,+386 2 876 48 55,46.5987278,15.164392699999999,"Mladinska ulica 17, 2367 Vuzenica, Slovenia",dental_clinic,wheelchairAccessibleParking; wheelchairAccessibleRestroom,https://maps.google.com/?cid=10823428772130647155,
