Procedure Code,Procedure Name,Facility,Category,Waiting Days
1018P,Kardiološki pregled - prvi,Medicinski center Heliks d.o.o.,regular,114
1018P,Kardiološki pregled - prvi,INTERMED D.O.O.,regular,119
1018P,Kardiološki pregled - prvi,"TOPMED, D.O.O.",regular,135
1018P,Kardiološki pregled - prvi,"ULTRAKARDIO, Siniša Grujic, dr.med.,specialist",regular,135
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM SEVNICA,regular,135
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM TOLMIN,regular,149
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,165
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,regular,196
1018P,Kardiološki pregled - prvi,Medicointerna d.o.o.,regular,196
1018P,Kardiološki pregled - prvi,KARDIOMED d.o.o.,regular,204
1018P,Kardiološki pregled - prvi,"INTERNISTICNI CENTER PREBIL, UROŠ PREBIL S.P.",regular,222
1018P,Kardiološki pregled - prvi,ENDOMED D.O.O.,regular,227
1018P,Kardiološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,227
1018P,Kardiološki pregled - prvi,"INTERNISTICNA SRCNO - ŽILNA AMBULANTA BOJAN KRIVEC, DR.MED., SPEC. INTERNIST",regular,227
1018P,Kardiološki pregled - prvi,UNIVERZITETNA KLINIKA ZA PLJUČNE BOLEZNI IN ALERGIJO GOLNIK,regular,227
1018P,Kardiološki pregled - prvi,MEDI CONS D.O.O.,regular,227
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM VELENJE,regular,227
1018P,Kardiološki pregled - prvi,"REMEDA, MEDICINSKI CENTER DOMŽALE D.O.O.",regular,235
1018P,Kardiološki pregled - prvi,KARDIOLOŠKA AMBULANTA VASACOR D.O.O.,regular,253
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM CELJE – Specialistična dejavnost,regular,257
1018P,Kardiološki pregled - prvi,Zdravstveni zavod Reschner,regular,257
1018P,Kardiološki pregled - prvi,"TERME KRKA, d.o.o.,Novo mesto - PE Šmarješke Toplice",regular,277
1018P,Kardiološki pregled - prvi,MEDICOR D.O.O.,regular,288
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,288
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,regular,288
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,288
1018P,Kardiološki pregled - prvi,CARDIAL d.o.o.,regular,318
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM DOMŽALE,regular,318
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,regular,349
1018P,Kardiološki pregled - prvi,Zdravstveni zavod Celjenje Koper,regular,349
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,380
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,408
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM NOVO MESTO,regular,413
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,425
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM LJUTOMER,regular,439
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,regular,469
1018P,Kardiološki pregled - prvi,KARDIOLOŠKI CENTER D.O.O.,regular,500
1018P,Kardiološki pregled - prvi,BOLNIŠNICA SEŽANA,regular,1476
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM SEVNICA,fast,29
1018P,Kardiološki pregled - prvi,MEDICAL CENTER ROGAŠKA,fast,43
1018P,Kardiološki pregled - prvi,BOLNIŠNICA TOPOLŠICA,fast,43
1018P,Kardiološki pregled - prvi,Srce in ožilje d.o.o.,fast,57
1018P,Kardiološki pregled - prvi,"ZASEBNA INTERNISTICNA KARDIOLOŠKA AMBULANTA GUSTAV HODOŠCEK, DR.MED., SPEC.INT.",fast,57
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,fast,57
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM TOLMIN,fast,74
1018P,Kardiološki pregled - prvi,INTERMED D.O.O.,fast,88
1018P,Kardiološki pregled - prvi,BOLNIŠNICA SEŽANA,fast,104
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,104
1018P,Kardiološki pregled - prvi,MEDI CONS D.O.O.,fast,104
1018P,Kardiološki pregled - prvi,UKC LJUBLJANA INTERNA KLINIKA,fast,104
1018P,Kardiološki pregled - prvi,"ULTRAKARDIO, Siniša Grujic, dr.med.,specialist",fast,104
1018P,Kardiološki pregled - prvi,Medicinski center Heliks d.o.o.,fast,114
1018P,Kardiološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,118
1018P,Kardiološki pregled - prvi,"TOPMED, D.O.O.",fast,118
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,fast,118
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM CELJE – Specialistična dejavnost,fast,135
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,135
1018P,Kardiološki pregled - prvi,KARDIOMED d.o.o.,fast,137
1018P,Kardiološki pregled - prvi,"INTERNISTICNI CENTER PREBIL, UROŠ PREBIL S.P.",fast,140
1018P,Kardiološki pregled - prvi,ENDOMED D.O.O.,fast,149
1018P,Kardiološki pregled - prvi,Medicointerna d.o.o.,fast,149
1018P,Kardiološki pregled - prvi,MEDICOR D.O.O.,fast,149
1018P,Kardiološki pregled - prvi,KARDIOLOŠKA AMBULANTA VASACOR D.O.O.,fast,154
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,fast,165
1018P,Kardiološki pregled - prvi,UNIVERZITETNA KLINIKA ZA PLJUČNE BOLEZNI IN ALERGIJO GOLNIK,fast,165
1018P,Kardiološki pregled - prvi,Zdravstveni zavod Celjenje Koper,fast,165
1018P,Kardiološki pregled - prvi,"INTERNISTICNA SRCNO - ŽILNA AMBULANTA BOJAN KRIVEC, DR.MED., SPEC. INTERNIST",fast,165
1018P,Kardiološki pregled - prvi,CARDIAL d.o.o.,fast,165
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM VELENJE,fast,196
1018P,Kardiološki pregled - prvi,Zdravstveni zavod Reschner,fast,227
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM DOMŽALE,fast,227
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM NOVO MESTO,fast,228
1018P,Kardiološki pregled - prvi,"REMEDA, MEDICINSKI CENTER DOMŽALE D.O.O.",fast,235
1018P,Kardiološki pregled - prvi,"TERME KRKA, d.o.o.,Novo mesto - PE Šmarješke Toplice",fast,257
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,fast,288
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,318
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,318
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM LJUTOMER,fast,349
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM LENDAVA - EGESZSEGHAZ LENDVA,fast,349
1018P,Kardiološki pregled - prvi,KARDIOLOŠKI CENTER D.O.O.,fast,349
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,fast,408
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,418
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,957
1018P,Kardiološki pregled - prvi,"ZASEBNA INTERNISTICNA KARDIOLOŠKA AMBULANTA GUSTAV HODOŠCEK, DR.MED., SPEC.INT.",veryFast,0
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM SEVNICA,veryFast,15
1018P,Kardiološki pregled - prvi,UKC LJUBLJANA INTERNA KLINIKA,veryFast,15
1018P,Kardiološki pregled - prvi,Srce in ožilje d.o.o.,veryFast,15
1018P,Kardiološki pregled - prvi,BOLNIŠNICA TOPOLŠICA,veryFast,15
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM TOLMIN,veryFast,29
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA BREŽICE,veryFast,29
1018P,Kardiološki pregled - prvi,MEDICAL CENTER ROGAŠKA,veryFast,29
1018P,Kardiološki pregled - prvi,MEDICOR D.O.O.,veryFast,43
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,43
1018P,Kardiološki pregled - prvi,"TOPMED, D.O.O.",veryFast,43
1018P,Kardiološki pregled - prvi,MEDI CONS D.O.O.,veryFast,43
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,43
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,veryFast,43
1018P,Kardiološki pregled - prvi,INTERMED D.O.O.,veryFast,53
1018P,Kardiološki pregled - prvi,KARDIOLOŠKA AMBULANTA VASACOR D.O.O.,veryFast,54
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM VELENJE,veryFast,57
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM DOMŽALE,veryFast,57
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,veryFast,57
1018P,Kardiološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,57
1018P,Kardiološki pregled - prvi,KARDIOLOŠKI CENTER D.O.O.,veryFast,57
1018P,Kardiološki pregled - prvi,Zdravstveni zavod Celjenje Koper,veryFast,57
1018P,Kardiološki pregled - prvi,BOLNIŠNICA SEŽANA,veryFast,57
1018P,Kardiološki pregled - prvi,KARDIOMED d.o.o.,veryFast,70
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA NOVO MESTO,veryFast,71
1018P,Kardiološki pregled - prvi,UNIVERZITETNA KLINIKA ZA PLJUČNE BOLEZNI IN ALERGIJO GOLNIK,veryFast,74
1018P,Kardiološki pregled - prvi,"ULTRAKARDIO, Siniša Grujic, dr.med.,specialist",veryFast,74
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM CELJE – Specialistična dejavnost,veryFast,74
1018P,Kardiološki pregled - prvi,CARDIAL d.o.o.,veryFast,74
1018P,Kardiološki pregled - prvi,Medicinski center Heliks d.o.o.,veryFast,79
1018P,Kardiološki pregled - prvi,Sava Turizem d.d. – PE Zdravilišče Radenci,veryFast,85
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,88
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA JESENICE,veryFast,88
1018P,Kardiološki pregled - prvi,Medicointerna d.o.o.,veryFast,88
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM LJUTOMER,veryFast,104
1018P,Kardiološki pregled - prvi,ENDOMED D.O.O.,veryFast,104
1018P,Kardiološki pregled - prvi,"INTERNISTICNI CENTER PREBIL, UROŠ PREBIL S.P.",veryFast,109
1018P,Kardiološki pregled - prvi,"TERME KRKA, d.o.o.,Novo mesto - PE Šmarješke Toplice",veryFast,112
1018P,Kardiološki pregled - prvi,"INTERNISTICNA SRCNO - ŽILNA AMBULANTA BOJAN KRIVEC, DR.MED., SPEC. INTERNIST",veryFast,118
1018P,Kardiološki pregled - prvi,Zdravstveni zavod Reschner,veryFast,165
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,veryFast,196
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM NOVO MESTO,veryFast,210
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,veryFast,227
1018P,Kardiološki pregled - prvi,ZDRAVSTVENI DOM LENDAVA - EGESZSEGHAZ LENDVA,veryFast,227
1018P,Kardiološki pregled - prvi,"REMEDA, MEDICINSKI CENTER DOMŽALE D.O.O.",veryFast,235
1018P,Kardiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,veryFast,257
1019P,Angiološki pregled - prvi,SPECIALISTIČNA IZVENBOLNIŠNIČNA ZDRAVSTVENA DEJAVNOST MILETA TRIPKOVIČ s.p.,regular,29
1019P,Angiološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",regular,39
1019P,Angiološki pregled - prvi,UKC LJUBLJANA INTERNA KLINIKA,regular,165
1019P,Angiološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,165
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,196
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,regular,439
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,439
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,500
1019P,Angiološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",fast,18
1019P,Angiološki pregled - prvi,SPECIALISTIČNA IZVENBOLNIŠNIČNA ZDRAVSTVENA DEJAVNOST MILETA TRIPKOVIČ s.p.,fast,29
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,74
1019P,Angiološki pregled - prvi,UKC LJUBLJANA INTERNA KLINIKA,fast,88
1019P,Angiološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,fast,118
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,257
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,fast,318
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,380
1019P,Angiološki pregled - prvi,SPECIALISTIČNA IZVENBOLNIŠNIČNA ZDRAVSTVENA DEJAVNOST MILETA TRIPKOVIČ s.p.,veryFast,15
1019P,Angiološki pregled - prvi,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",veryFast,18
1019P,Angiološki pregled - prvi,UKC LJUBLJANA INTERNA KLINIKA,veryFast,43
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,veryFast,57
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA TRBOVLJE,veryFast,74
1019P,Angiološki pregled - prvi,UNIVERZITETNI KLINIČNI CENTER MARIBOR,veryFast,74
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,veryFast,104
1019P,Angiološki pregled - prvi,SPLOŠNA BOLNIŠNICA CELJE,veryFast,288
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA NOVO MESTO,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. BOŽIDARJA LAVRIČA - CERKNICA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ČRNOMELJ-fizioterapija in ostale dejavnosti na sekundarnem nivoju brez zobozdravstva,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LOGATEC,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. JANEZA ORAŽMA RIBNICA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM KOČEVJE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ILIRSKA BISTRICA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM SLOVENSKE KONJICE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA TRBOVLJE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM AJDOVŠČINA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM NOVO MESTO,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM TOLMIN,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM SEVNICA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ŠMARJE PRI JELŠAH,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM GROSUPLJE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM SLOVENSKA BISTRICA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ORMOŽ,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM KOPER CASA DELLA SANITA CAPODISTRIA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM VELENJE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,"ZASEBNA INTERNISTICNO-PULMOLOŠKA AMBULANTA JASMINA PANJAN AVRAMOVIČ, DR.MED.,SPEC.INT.MED.",regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - CENTER,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - VIČ - RUDNIK,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - ŠIŠKA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - BEŽIGRAD,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM MURSKA SOBOTA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. JULIJA POLCA KAMNIK,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM TREBNJE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUTOMER,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZD LAŠKO,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ŠENTJUR,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,"ZA MLINAR NEVENKA, DR.MED.",regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZD RADEČE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA JESENICE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,BOLNIŠNICA TOPOLŠICA,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM RADLJE OB DRAVI,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - MOSTE - POLJE,regular,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM GORNJA RADGONA,regular,4
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM PTUJ,regular,15
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,regular,26
1020P,Antikoagulacijsko zdravljenje - prvi pregled,BOLNIŠNICA SEŽANA,regular,29
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZD KRŠKO,regular,29
1020P,Antikoagulacijsko zdravljenje - prvi pregled,Zavod Apolon,regular,29
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,regular,29
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,regular,29
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA BREŽICE,regular,57
1020P,Antikoagulacijsko zdravljenje - prvi pregled,UNIVERZITETNA KLINIKA ZA PLJUČNE BOLEZNI IN ALERGIJO GOLNIK,regular,57
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA IZOLA OSPEDALE GENERALE ISOLA,regular,74
1020P,Antikoagulacijsko zdravljenje - prvi pregled,UNIVERZITETNI KLINIČNI CENTER MARIBOR,regular,88
1020P,Antikoagulacijsko zdravljenje - prvi pregled,VERBOTEN KOPRIVA RENATA - ORDINACIJA INTERNE MEDICINE,regular,103
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM CELJE – Specialistična dejavnost,regular,118
1020P,Antikoagulacijsko zdravljenje - prvi pregled,UKC LJUBLJANA INTERNA KLINIKA,regular,165
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA CELJE,regular,530
1020P,Antikoagulacijsko zdravljenje - prvi pregled,OZG ZDRAVSTVENI DOM ŠKOFJA LOKA,regular,530
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA NOVO MESTO,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. BOŽIDARJA LAVRIČA - CERKNICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ČRNOMELJ-fizioterapija in ostale dejavnosti na sekundarnem nivoju brez zobozdravstva,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LOGATEC,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. JANEZA ORAŽMA RIBNICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ILIRSKA BISTRICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM SLOVENSKE KONJICE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA TRBOVLJE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM AJDOVŠČINA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM NOVO MESTO,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM TOLMIN,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM SEVNICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ŠMARJE PRI JELŠAH,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM GROSUPLJE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM SLOVENSKA BISTRICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ORMOŽ,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM KOPER CASA DELLA SANITA CAPODISTRIA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM VELENJE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,"ZASEBNA INTERNISTICNO-PULMOLOŠKA AMBULANTA JASMINA PANJAN AVRAMOVIČ, DR.MED.,SPEC.INT.MED.",fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - CENTER,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - VIČ - RUDNIK,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - ŠIŠKA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - BEŽIGRAD,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM MURSKA SOBOTA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM DR. JULIJA POLCA KAMNIK,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM TREBNJE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUTOMER,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZD LAŠKO,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM ŠENTJUR,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,"ZA MLINAR NEVENKA, DR.MED.",fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZD RADEČE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA JESENICE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,BOLNIŠNICA TOPOLŠICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM RADLJE OB DRAVI,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM LJUBLJANA - MOSTE - POLJE,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,Zavod Apolon,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,fast,0
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM GORNJA RADGONA,fast,4
1020P,Antikoagulacijsko zdravljenje - prvi pregled,BOLNIŠNICA SEŽANA,fast,15
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZD KRŠKO,fast,15
1020P,Antikoagulacijsko zdravljenje - prvi pregled,ZDRAVSTVENI DOM PTUJ,fast,15
